player,team,league,position,draft_eligible,nation,pos_fac
Alex Brannstam,Djurgarden Jr.,Sweden Jr. league,D,2021,sweden,2
Philip Broberg,Skelleftea,SHL,D,Drafted,sweden,2
Ludvig Hedstrom,Djurgarden Jr.,Sweden Jr. league,D,2021,sweden,2
Albert Johansson,Farjestad,SHL,D,Drafted,sweden,2
Victor Soderstrom,AIK,Sweden 2nd division,D,Drafted,sweden,2
Oscar Bjerselius,Djurgarden,SHL,F,2021,sweden,1
Arvid Costmar,Linkoping,SHL,F,Drafted,sweden,1
Noel Gunler,Brynas,SHL,F,Drafted,sweden,1
Emil Heineman,Leksand,SHL,F,Drafted,sweden,1
Simon Holmstrom,Vita Hasten,Sweden 2nd division,F,Drafted,sweden,1
Alexander Holtz,Djurgarden,SHL,F,Drafted,sweden,1
Oskar Kvist,Brynas,SHL,F,2021,sweden,1
Theodor Niederbach,Frolunda Jr.,Sweden Jr. league,F,Drafted,sweden,1
Zion Nybeck,HV 71,SHL,F,Drafted,sweden,1
Oskar Olausson,HV 71 Jr.,Sweden Jr. league,F,2021,sweden,1
Lucas Raymond,Frolunda,SHL,F,Drafted,sweden,1
Elmer Soderblom,Frolunda,SHL,F,Drafted,sweden,1
Albin Sundsvik,Skelleftea,SHL,F,Drafted,sweden,1
Jonathan Wikstrom,HV 71 Jr.,Sweden Jr. league,F,2021,sweden,1
Spencer Knight,Boston College,H-EAST,G,Drafted,usa,3
Logan Stein,Ferris State,WCHA,G,2021,usa,3
Dustin Wolf,Everett,WHL,G,Drafted,usa,3
Brock Faber,Minnesota,BIG 10,D,Drafted,usa,2
Drew Helleson,Boston College,H-EAST,D,Drafted,usa,2
Ryan Johnson,Minnesota,BIG 10,D,Drafted,usa,2
Tyler Kleven,North Dakota,NCHC,D,Drafted,usa,2
Jackson LaCombe,Minnesota,BIG 10,D,Drafted,usa,2
Jake Sanderson,North Dakota,NCHC,D,Drafted,usa,2
Hunter Skinner,London,OHL,D,Drafted,usa,2
Henry Thrun,Dubuque,USHL,D,Drafted,usa,2
Cam York,Michigan,BIG 10,D,Drafted,usa,2
Matthew Beniers,Michigan,BIG 10,F,2021,usa,1
Brett Berard,Providence,HE,F,Drafted,usa,1
Matthew Boldy,Boston College,H-EAST,F,Drafted,usa,1
Bobby Brink,Denver,NCHC,F,Drafted,usa,1
Brendan Brisson,Michigan,BIG 10,F,Drafted,usa,1
Cole Caufield,Wisconsin,BIG 10,F,Drafted,usa,1
Sam Colangelo,Northeastern,H-EAST,F,Drafted,usa,1
John Farinacci,Muskegon,USHL,F,Drafted,usa,1
Arthur Kaliyev,Hamilton,OHL,F,Drafted,usa,1
Patrick Moynihan,Providence,H-EAST,F,Drafted,usa,1
Landon Slaggert,Notre Dame,BIG 10,F,Drafted,usa,1
Alex Turcotte,Eisbaren Berlin,DEL,F,Drafted,usa,1
Trevor Zegras,San Diego,AHL,F,Drafted,usa,1
